Facility
Field
Archive
Armory
Barrack
Base
Center
Citadel
College
Datacenter
Corporate Office
Campus
Hall
Depot
Dock
Encampment
Fort
Foundry
Habitat
Headquarters
Hive
Hospital
Lab
Laboratory
Library
Nexus
Observatory
Outpost
Plant
Pod
Port
Reservoir
School
Shop
Silo
Station
Substation
Tank
Terminus
University
Warehouse
Workshop
Wetlab
