System
Synthesizer
Analyzer
Blaster
Iterator
Network
Controller
Engine
Processor
Flow Regulator
Decision Support
Modeller
Generator
Monitor
Balancer
Allocator
Aggregator
Corrector
Spatializer
Miner
Lathe
Abstractor
Solver
Transporter
Modulator
Accumulator
Cluster
Transporter
Mutator
Splicer
Nebulizer
Separator
Transducer
Transformer
Selector
Recombinator
