Metasyndicate
Syndicate
Subsyndicate
Ministry
Agency
Collective
Directorate
Club
Bureau
Lab
Team
Department
Provider
Office
Alliance
Fleet
Board
Committee
Cell
Society
Institute
Command
Brigade
Platoon
Hive
Symbiote
Army
Squad
Administration
Commission
Division
Consulate
Embassy
Headquarters
Congress
Legislature
Cabinet
Consulate
Council
Embassy
Panel
Advisory
Oversight
Association
Union
Chamber
Confederation
Amalgamation
Abstraction
Coalition
League
Conference
Federation
Consortium
Crew
Trust
Faction
Gang
Workforce
Tribe
Faction
Partnership
