Classification
Core
Primary
Secondary
Auxiliary
Tertiary
Executive
Strategic
Analytical
Operational
Enterprise
Galactic
Intergalactic
Interstellar
Deep Space
Interplanetary
International
Provincial
Royal
Institutional
Geopolitical
Environmental
Central
Suborbital
Systemic
Parametric
Equilibrious
Chaos
Order
Foundational
Regulatory
Command
Control
Tactical 
Root
Mechanical
Research
Scientific
Subterranian
Secure
High Altitude
Deep Sea
Arctic
Antarctic
Transport
Logistical
Naval
Submarine
Geosyncronous
Solar
Natural
Synthetic
Biological
Mechanical
Theoretical
Technical
Planar
Abstract
Biology
Biotech
Nuclear
Physics
Demolitions
Thermonuclear
Geology
Systems
Infrastructure
Network
Mobile
Secure
High-Altitude
Deep-Sea
Arctic
Antarctic
Space
Submarine
Naval
Aerospace
Classified
Satellite 
Cluster
Secure
Control
Lunar
Galactic
Planetary
Stellar
Intergalactic
Interplanetary
Machine
Robotics
Experimental
Flight
Fuel
Training
Simulation
Entropy
Virtual
Communications
Ballistics
Trade
Launch
